winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Villanova,Gonzaga,5.078571428571428,14.0
Illinois,Kansas,Illinois,Illinois,Alabama,Baylor,Kansas,5.035714285714286,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Arkansas,Gonzaga,5.01275,20.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,5.000871559633028,109.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Texas Tech,Gonzaga,4.988666666666668,15.0
Gonzaga,Gonzaga,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,4.960972222222222,36.0
Baylor,Gonzaga,Baylor,Oklahoma State,Alabama,Baylor,Gonzaga,4.9596,25.0
Baylor,Texas,Baylor,Houston,Texas,Baylor,Gonzaga,4.825714285714286,14.0
Baylor,Gonzaga,Baylor,Oklahoma State,Florida State,Baylor,Gonzaga,4.758214285714287,14.0
Gonzaga,Gonzaga,Baylor,Illinois,Louisiana State,Baylor,Gonzaga,4.737678571428572,28.0
Baylor,Gonzaga,Baylor,Illinois,Louisiana State,Baylor,Gonzaga,4.700384615384615,13.0
Baylor,Michigan,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,4.58642857142857,14.0
Iowa,Iowa,Houston,Houston,Michigan,Baylor,Iowa,4.547142857142857,14.0
Baylor,Gonzaga,Baylor,Oklahoma State,Texas,Baylor,Gonzaga,4.3165625,16.0
Gonzaga,Gonzaga,Baylor,West Virginia,Texas,Baylor,Gonzaga,4.231704545454546,44.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Purdue,Gonzaga,4.099666666666668,15.0
Baylor,Michigan,Baylor,Tennessee,Michigan,Baylor,Gonzaga,4.038461538461538,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Louisiana State,Baylor,Gonzaga,4.0045714285714284,35.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Florida,Gonzaga,3.909615384615385,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Louisiana State,Ohio State,Gonzaga,3.8693750000000002,16.0
Iowa,Iowa,Baylor,Houston,Alabama,Baylor,Iowa,3.7295454545454545,11.0
Baylor,Gonzaga,Baylor,West Virginia,Texas,Baylor,Gonzaga,3.7146875000000006,16.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Michigan,Ohio State,Gonzaga,3.6960185185185193,54.0
Gonzaga,Gonzaga,Baylor,Houston,Brigham Young,Baylor,Gonzaga,3.6008333333333327,12.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Texas,Baylor,Gonzaga,3.585701754385966,57.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Michigan,Ohio State,Gonzaga,3.4839583333333337,48.0
Illinois,Kansas,Illinois,Illinois,Michigan,Ohio State,Kansas,3.4836842105263157,19.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Florida State,Ohio State,Gonzaga,3.460000000000001,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Villanova,Gonzaga,3.322083333333333,12.0
Houston,Iowa,Houston,Houston,Michigan,Baylor,Iowa,3.2891666666666666,12.0
Iowa,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,3.0366999999999997,50.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Wisconsin,Gonzaga,2.891428571428571,14.0
Iowa,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,2.8453125000000004,32.0
Illinois,Michigan,Illinois,Illinois,Michigan,Villanova,Gonzaga,2.7280769230769226,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Arkansas,Gonzaga,2.6016666666666666,18.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,North Carolina,Gonzaga,2.588461538461538,13.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Alabama,Baylor,Gonzaga,2.521078431372549,51.0
Gonzaga,Gonzaga,Baylor,Georgia Tech,Michigan,Baylor,Gonzaga,2.4193999999999996,25.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,North Carolina,Gonzaga,2.296666666666667,15.0
Illinois,Texas,Illinois,Illinois,Texas,Ohio State,Gonzaga,2.0319999999999983,25.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,North Carolina,Gonzaga,2.019117647058824,17.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Arkansas,Gonzaga,1.9704545454545452,11.0
Baylor,Kansas,Baylor,Illinois,Alabama,Baylor,Kansas,1.9042500000000004,20.0
Baylor,Kansas,Baylor,Illinois,Texas,Baylor,Kansas,1.7196153846153843,13.0
Iowa,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,1.673913043478261,46.0
Iowa,Iowa,Ohio State,Illinois,Alabama,Ohio State,Iowa,1.6469230769230772,13.0
Gonzaga,Gonzaga,Baylor,West Virginia,Florida State,Baylor,Gonzaga,1.5886956521739126,23.0
Illinois,Virginia,Illinois,Illinois,Michigan,Baylor,Virginia,1.5547499999999999,20.0
Gonzaga,Gonzaga,Baylor,Clemson,Michigan,Baylor,Gonzaga,1.5465384615384616,13.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Florida State,Baylor,Gonzaga,1.5079629629629634,27.0
Gonzaga,Gonzaga,Ohio State,Tennessee,Michigan,Ohio State,Gonzaga,1.4883333333333337,21.0
Gonzaga,Gonzaga,Illinois,Illinois,St. Bonaventure,Baylor,Gonzaga,1.3733333333333324,15.0
Iowa,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,1.3393939393939391,33.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Florida State,Ohio State,Gonzaga,1.2623333333333326,15.0
Iowa,Iowa,Houston,Houston,Michigan,Ohio State,Iowa,1.0738235294117644,17.0
Iowa,Iowa,Baylor,Illinois,Texas,Baylor,Iowa,1.0553846153846156,13.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Alabama,Ohio State,Gonzaga,1.0,21.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Florida,Gonzaga,0.9138461538461532,13.0
Iowa,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,0.8370967741935482,31.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Texas Tech,Gonzaga,0.7415384615384616,13.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Alabama,Ohio State,Gonzaga,0.7018518518518517,27.0
Iowa,Iowa,Baylor,Illinois,Florida State,Baylor,Iowa,0.5793333333333331,15.0
Iowa,Iowa,Baylor,Houston,Michigan,Baylor,Iowa,0.5063043478260869,23.0
Gonzaga,Gonzaga,Arkansas,Houston,Michigan,Arkansas,Gonzaga,0.30875000000000047,12.0
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Iowa,0.25428571428571445,21.0
Gonzaga,Gonzaga,Baylor,Tennessee,Florida State,Baylor,Gonzaga,0.1690909090909092,11.0
Iowa,Iowa,Illinois,Illinois,Alabama,Ohio State,Iowa,-0.1802500000000001,20.0
Iowa,Iowa,Ohio State,Illinois,Michigan,Ohio State,Iowa,-0.5589130434782611,23.0
Illinois,Kansas,Illinois,Illinois,Florida State,Baylor,Kansas,-0.6250000000000007,11.0
Iowa,Iowa,Baylor,Oklahoma State,Michigan,Baylor,Iowa,-0.6537499999999999,12.0
Iowa,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,-0.7199999999999999,33.0
Houston,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,-1.6159090909090912,22.0
Iowa,Iowa,Baylor,West Virginia,Michigan,Baylor,Iowa,-1.6316666666666666,12.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,North Carolina,Gonzaga,-1.7583333333333337,12.0
