winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Illinois,Virginia,Illinois,Illinois,Michigan,Ohio State,Virginia,6.663636363636362,11.0
Baylor,Gonzaga,Baylor,Tennessee,Alabama,Baylor,Gonzaga,6.398749999999999,16.0
Baylor,Michigan,Baylor,Tennessee,Michigan,Baylor,Gonzaga,6.378461538461537,13.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,6.34886075949367,79.0
Iowa,Iowa,Ohio State,Illinois,Michigan,Ohio State,Iowa,6.33391304347826,23.0
Gonzaga,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,6.330393700787391,508.0
Baylor,Gonzaga,Baylor,Oklahoma State,Florida State,Baylor,Gonzaga,6.319999999999999,14.0
Gonzaga,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,6.28423076923077,52.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Texas Tech,Gonzaga,6.174285714285715,28.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Wisconsin,Gonzaga,6.127692307692308,13.0
Gonzaga,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,5.993448275862068,58.0
Gonzaga,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,5.897192982456141,171.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Texas Tech,Gonzaga,5.685294117647058,34.0
Baylor,Kansas,Baylor,Illinois,Michigan,Baylor,Kansas,5.5600000000000005,23.0
Baylor,Texas,Baylor,Houston,Texas,Baylor,Gonzaga,5.555714285714285,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,5.204810126582278,79.0
Illinois,Alabama,Illinois,Illinois,Alabama,Purdue,Gonzaga,5.032727272727272,11.0
Illinois,Kansas,Illinois,Illinois,Michigan,Baylor,Kansas,4.95578947368421,19.0
Iowa,Iowa,Baylor,Oklahoma State,Michigan,Baylor,Iowa,4.7749999999999995,12.0
