winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Arkansas,Gonzaga,2.1875,12.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Texas,Baylor,Gonzaga,2.1666666666666665,21.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Michigan,Ohio State,Gonzaga,2.125,12.0
Gonzaga,Gonzaga,Ohio State,Tennessee,Michigan,Ohio State,Gonzaga,1.3863636363636365,11.0
Gonzaga,Gonzaga,Illinois,Illinois,Louisiana State,Baylor,Gonzaga,0.7115384615384616,13.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Alabama,Baylor,Gonzaga,0.325,20.0
Illinois,Texas,Illinois,Illinois,Texas,Baylor,Gonzaga,0.10714285714285714,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Villanova,Gonzaga,-0.09523809523809523,21.0
Gonzaga,Gonzaga,Baylor,Illinois,Brigham Young,Baylor,Gonzaga,-0.78125,16.0
Ohio State,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,-1.0,15.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,-1.103448275862069,29.0
Gonzaga,Gonzaga,Baylor,Georgia Tech,Michigan,Baylor,Gonzaga,-2.0384615384615383,13.0
Ohio State,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,-2.2083333333333335,12.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Ohio State,Gonzaga,-2.460526315789474,19.0
Michigan,Michigan,Illinois,Illinois,Michigan,Ohio State,Iowa,-2.480769230769231,13.0
Alabama,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,-3.533333333333333,15.0
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Gonzaga,-3.96875,24.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Baylor,Gonzaga,-4.166666666666667,15.0
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,-5.416666666666667,15.0
Ohio State,Michigan,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,-5.615384615384615,13.0
Ohio State,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,-5.821428571428571,28.0
Ohio State,Gonzaga,Ohio State,Oklahoma State,Michigan,Ohio State,Gonzaga,-6.016666666666667,15.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Alabama,Baylor,Gonzaga,-6.566666666666666,15.0
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Iowa,-6.903846153846154,13.0
Michigan,Michigan,Baylor,West Virginia,Michigan,Baylor,Gonzaga,-6.9375,12.0
Michigan,Michigan,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,-7.144230769230769,26.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,-7.651515151515151,66.0
Gonzaga,Gonzaga,Arkansas,Illinois,Michigan,Arkansas,Gonzaga,-7.678571428571429,14.0
Michigan,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,-8.14864864864865,37.0
Gonzaga,Gonzaga,Oklahoma State,Oklahoma State,Michigan,Baylor,Gonzaga,-8.48076923076923,13.0
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,-8.59433962264151,53.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,-8.734375,16.0
Gonzaga,Gonzaga,Oklahoma State,Oklahoma State,Alabama,Baylor,Gonzaga,-9.25,14.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Kansas,-9.541666666666666,12.0
Gonzaga,Gonzaga,Oklahoma State,Oklahoma State,Michigan,Ohio State,Gonzaga,-9.625,18.0
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Kansas,-10.089285714285714,14.0
Virginia,Virginia,Illinois,Illinois,Michigan,Baylor,Virginia,-11.25,11.0
Michigan,Michigan,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,-11.928571428571429,14.0
Gonzaga,Gonzaga,Villanova,Illinois,Michigan,Villanova,Gonzaga,-12.363636363636363,11.0
