pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
81,3,0.16,0.5,38.0,54.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Illinois,Illinois
81,13,0.14,0.44,33.0,52.0,Gonzaga,Louisiana State,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
81,8,0.08,0.33,22.0,43.0,Gonzaga,Alabama,Oklahoma State,Ohio State,Gonzaga,Oklahoma State,Gonzaga
81,20,0.06,0.25,18.0,40.0,Gonzaga,Connecticut,Oklahoma State,Baylor,Gonzaga,Baylor,Gonzaga
81,17,0.07,0.23,17.0,40.0,Gonzaga,Florida State,Houston,Ohio State,Gonzaga,Houston,Gonzaga
81,6,0.05,0.27,17.0,37.0,Gonzaga,Texas,Illinois,Villanova,Gonzaga,Illinois,Gonzaga
81,2,0.07,0.21,16.0,40.0,Kansas,Michigan,Illinois,Baylor,Kansas,Illinois,Illinois
81,23,0.05,0.23,14.0,35.0,Gonzaga,Michigan,Illinois,Baylor,Michigan,Illinois,Michigan
81,9,0.04,0.22,12.0,32.0,Gonzaga,Florida State,Illinois,Ohio State,Florida State,Ohio State,Florida State
81,1,0.04,0.16,11.0,33.0,Iowa,Maryland,Illinois,Baylor,Iowa,Illinois,Iowa
81,18,0.04,0.14,10.0,33.0,Iowa,Texas,Illinois,Baylor,Iowa,Illinois,Iowa
81,21,0.04,0.14,10.0,31.0,Gonzaga,Michigan,Tennessee,Baylor,Gonzaga,Tennessee,Tennessee
81,14,0.02,0.13,7.0,24.0,Gonzaga,Michigan,Illinois,Hartford,Gonzaga,Hartford,Gonzaga
81,0,0.02,0.11,7.0,25.0,Creighton,Michigan,West Virginia,Ohio State,Creighton,Ohio State,Ohio State
81,10,0.02,0.1,6.0,25.0,Gonzaga,Mount St. Mary's,Illinois,Texas Tech,Gonzaga,Illinois,Gonzaga
81,7,0.02,0.12,6.0,22.0,Gonzaga,Brigham Young,Illinois,Baylor,Gonzaga,Illinois,Illinois
81,4,0.02,0.09,6.0,24.0,Gonzaga,Michigan,Houston,Ohio State,Michigan,Ohio State,Ohio State
81,22,0.02,0.08,5.0,24.0,Gonzaga,Michigan,Tennessee,Texas Tech,Gonzaga,Texas Tech,Gonzaga
81,24,0.02,0.09,5.0,21.0,Oklahoma,Texas,Illinois,Baylor,Oklahoma,Illinois,Oklahoma
81,15,0.0,0.08,3.0,14.0,Norfolk State,Michigan,Illinois,Baylor,Norfolk State,Illinois,Illinois
81,5,0.01,0.04,3.0,17.0,Iowa,Michigan,Tennessee,Villanova,Iowa,Villanova,Villanova
81,11,0.0,0.02,1.0,12.0,Gonzaga,Texas,Loyola (IL),Ohio State,Texas,Ohio State,Texas
81,12,0.0,0.02,1.0,9.0,Eastern Washington,Alabama,Oklahoma State,Ohio State,Eastern Washington,Oklahoma State,Oklahoma State
81,19,0.0,0.01,0.0,6.0,Oregon,Michigan,Georgia Tech,Wisconsin,Oregon,Wisconsin,Oregon
81,16,0.0,0.01,0.0,3.0,UC-Santa Barbara,Georgetown,Illinois,Ohio State,UC-Santa Barbara,Ohio State,UC-Santa Barbara
82,12,0.11,0.4,28.0,48.0,Gonzaga,Texas,Illinois,Baylor,Gonzaga,Illinois,Illinois
82,13,0.1,0.3,23.0,46.0,Gonzaga,Alabama,Illinois,Baylor,Alabama,Baylor,Baylor
82,23,0.07,0.29,19.0,40.0,Gonzaga,Alabama,Illinois,Villanova,Gonzaga,Illinois,Gonzaga
82,9,0.09,0.22,19.0,44.0,Gonzaga,Michigan,Houston,North Carolina,Gonzaga,Houston,Gonzaga
82,20,0.07,0.3,18.0,39.0,Gonzaga,Alabama,Illinois,Ohio State,Gonzaga,Illinois,Illinois
82,10,0.06,0.21,16.0,39.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Ohio State,Gonzaga
82,11,0.06,0.22,16.0,39.0,Virginia,Michigan,Houston,Baylor,Michigan,Baylor,Michigan
82,19,0.05,0.21,15.0,37.0,Gonzaga,Florida State,Illinois,Villanova,Gonzaga,Illinois,Gonzaga
82,17,0.05,0.23,15.0,36.0,Iowa,Texas,Illinois,Baylor,Texas,Illinois,Illinois
82,5,0.04,0.22,13.0,32.0,Gonzaga,Alabama,Illinois,Baylor,Alabama,Baylor,Alabama
82,16,0.05,0.17,12.0,34.0,Iowa,Colorado,Illinois,Baylor,Iowa,Illinois,Illinois
82,21,0.03,0.18,11.0,30.0,Gonzaga,Alabama,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
82,18,0.04,0.14,10.0,32.0,Creighton,Michigan,Illinois,Ohio State,Creighton,Ohio State,Ohio State
